cp;cantidad_viviendas;plazas_totales;plazas_medias;superficie_total;superficie_media;num_municipios_distintos
46590;5;30;6;970;194;1
46591;7;50;7;1337;191;1
46592;2;12;6;606;303;1
46593;5;25;5;1465;293;1
46595;10;57;5;2154;215,4;1
46600;17;99;5;3039;178,765;1
46610;2;8;4;352;176;1
46612;6;34;5;1966;327,667;1
46613;4;28;7;1029;257,25;1
46614;8;49;6;1001;125,125;1
46620;5;28;5;437;109,25;1
46621;5;38;7;1684;336,8;2
46623;2;12;6;501;250,5;1
46624;4;19;4;326;81,5;1
46625;5;24;4;5230;1046;1
46630;2;14;7;578;289;1
46635;7;49;7;3392;484,571;1
46640;11;58;5;1783;162,091;1
46650;1;9;9;370;370;1
46666;1;6;6;170;170;1
46667;3;26;8;246;123;1
46669;2;11;5;490;245;1
46670;2;12;6;223;111,5;1
46680;11;59;5;1641;149,182;1
46687;1;10;10;185;185;1
46688;3;16;5;1599;533;1
46689;1;6;6;103;103;1
46690;1;6;6;72;72;1
46691;3;17;5;348;116;1
46692;2;13;6;257;128,5;1
46701;144;781;5;16316;114,098;1
46702;145;791;5;15343;106,549;1
46710;396;1711;4;32501;82,073;1
46711;269;1259;4;23679;88,026;2
46712;160;795;4;14192;88,7;1
46713;168;755;4;14535;86,518;2
46714;2;11;5;823;411,5;1
46716;4;29;7;780;195;1
46717;27;145;5;4295;159,074;1
46720;7;52;7;1834;262;1
46721;1;6;6;190;190;1
46722;6;31;5;798;133;2
46723;1;5;5;83;83;1
46724;6;48;8;1247;207,833;1
46725;8;51;6;1295;161,875;1
46726;4;30;7;824;206;2
46727;10;73;7;2678;267,8;1
46728;28;234;8;8456;302;2
46729;26;149;5;5167;198,731;1
46730;2622;12882;4;232736;89,342;1
46740;3;20;6;907;302,333;1
46750;5;31;6;971;194,2;1
46758;39;278;7;9804;251,385;1
46760;170;833;4;17174;103,458;1
46770;417;2090;5;38981;93,704;1
46780;1482;6873;4;969587;658,687;2
46790;24;106;4;1795;85,476;1
46791;2;16;8;451;225,5;1
46792;2;12;6;429;214,5;1
46800;56;253;4;6682,92;119,338;1
46810;6;42;7;1098;183;1
46812;1;10;10;509;509;1
46814;2;10;5;527;263,5;1
46815;1;4;4;154;154;1
46816;2;14;7;790;395;1
46817;2;7;3;201;100,5;1
46818;1;8;8;197;197;1
46820;15;95;6;3072;204,8;1
46821;15;112;7;3542;253;1
46822;17;110;6;3741;220,059;1
46823;34;251;7;10235;301,029;1
46824;4;34;8;1101;275,25;1
46825;3;25;8;828;276;1
46830;2;12;6;310;155;1
46838;7;23;3;1262;180,286;2
46839;2;11;5;399;199,5;2
46841;2;13;6;442;221;1
46842;8;57;7;1809;226,125;3
46843;3;22;7;663;221;2
46844;3;16;5;650;216,667;2
46850;4;21;5;528;132;1
46860;3;20;6;324;162;2
46869;8;61;7;1728;216;3
46870;47;263;5;11381;242,149;1
46880;27;129;4;3190;118,148;1
46890;1;4;4;;;1
46891;1;4;4;223;223;1
46894;4;42;10;1854;463,5;1
46900;10;58;5;1624;162,4;1
46901;3;15;5;824;274,667;1
46909;1;8;8;182;182;1
46910;21;96;4;2364;112,571;3
46920;22;96;4;2156;98;1
46930;10;47;4;1835;183,5;1
46940;7;44;6;1123;160,429;1
46960;5;24;4;492;98,4;1
46970;12;54;4;1405;117,083;1
46980;33;152;4;4030;125,938;1
